price,year,engine,distance,city
48 777 $,2017,2.0 L,98 000 km,Bakı
41 500 $,2018,2.0 L,58 800 km,Bakı
49 500 $,2017,2.0 L,68 000 km,Bakı
38 000 $,2017,2.0 L,98 000 km,Bakı
41 500 $,2017,2.0 L,54 000 km,Bakı
48 500 $,2019,2.0 L,54 000 km,Bakı
42 200 $,2018,2.0 L,106 000 km,Bakı
8 900 AZN,1996,3.0 L,185 000 km,Bakı
7 200 AZN,1994,3.0 L,422 321 km,Bakı
27 500 AZN,2007,3.0 L,320 000 km,Bakı
19 800 $,2011,3.0 L,156 345 km,Bakı
48 777 $,2017,2.0 L,98 000 km,Bakı
25 500 AZN,2008,3.0 L,203 000 km,Bakı
76 000 $,2020,2.0 L,25 000 km,Bakı
55 800 $,2020,2.0 L,34 500 km,Bakı
58 000 $,2020,2.0 L,45 000 km,Bakı
59 000 $,2021,2.0 L,48 000 km,Bakı
41 540 $,2017,2.0 L,181 009 km,Bakı
45 900 $,2019,2.0 L,24 400 km,Bakı
39 500 $,2017,2.0 L,90 000 km,Bakı
52 500 $,2017,2.0 L,29 000 km,Bakı
52 000 $,2019,2.0 L,59 000 km,Bakı
47 500 $,2018,2.0 L,54 000 km,Bakı
18 800 AZN,2006,3.0 L,234 000 km,Sumqayıt
54 500 $,2018,2.0 L,53 000 km,Bakı
6 800 AZN,1994,3.0 L,214 796 km,Bakı
10 500 AZN,1997,3.0 L,500 000 km,Bakı
13 000 AZN,1998,3.0 L,600 000 km,Bakı
25 800 AZN,2007,3.0 L,267 000 km,Bakı
48 777 $,2017,2.0 L,98 000 km,Bakı
20 500 AZN,2005,3.0 L,384 386 km,Bakı
35 000 $,2017,2.0 L,43 000 km,Bakı
38 000 $,2017,2.0 L,98 000 km,Bakı
41 800 $,2018,2.0 L,45 000 km,Bakı
9 700 AZN,1994,3.0 L,485 000 km,Bakı
27 500 AZN,2006,3.0 L,236 879 km,Bakı
46 900 $,2018,2.0 L,45 300 km,Bakı
41 800 $,2018,2.0 L,45 000 km,Bakı
6 500 AZN,1992,3.0 L,600 000 km,Şirvan
9 200 AZN,1996,3.0 L,542 000 km,Bakı
32 900 AZN,2009,3.0 L,135 100 km,Bakı
41 000 $,2016,2.0 L,59 000 km,Bakı
20 900 $,2013,2.2 L,285 000 km,Bakı
40 500 $,2018,2.0 L,98 000 km,Sumqayıt
32 700 $,2013,2.1 L,120 087 km,Bakı
42 700 $,2017,2.0 L,35 000 km,Bakı
40 900 $,2017,2.0 L,115 000 km,Bakı
44 900 $,2019,2.0 L,25 961 km,Bakı
21 000 AZN,2007,3.0 L,351 243 km,Sumqayıt
5 500 AZN,1991,3.0 L,400 000 km,Bakı
45 500 $,2017,2.0 L,105 000 km,Bakı
43 900 $,2017,2.0 L,55 000 km,Bakı
41 500 $,2018,2.0 L,58 800 km,Bakı
44 999 $,2018,2.0 L,38 000 km,Sumqayıt
11 500 AZN,1998,3.0 L,469 380 km,Xırdalan
5 000 AZN,1990,3.0 L,667 000 km,Bakı
4 000 AZN,1992,3.0 L,750 000 km,Bakı
41 000 $,2017,2.0 L,110 000 km,Bakı
48 777 $,2017,2.0 L,98 000 km,Bakı
36 500 $,2016,2.0 L,61 100 km,Bakı
20 500 AZN,2005,3.0 L,384 386 km,Bakı
41 800 $,2018,2.0 L,45 000 km,Bakı
49 500 $,2017,2.0 L,68 000 km,Bakı
47 000 $,2017,2.0 L,43 800 km,Bakı
34 500 AZN,2010,3.0 L,228 000 km,Bakı
8 500 AZN,1994,3.0 L,569 000 km,Gəncə
43 200 $,2017,2.0 L,76 000 km,Bakı
83 000 $,2022,2.0 L,5 300 km,Bakı
38 000 $,2017,2.0 L,98 000 km,Bakı
11 500 AZN,1997,3.0 L,450 000 km,Bakı
10 900 AZN,1994,3.0 L,454 500 km,Bakı
21 500 $,2010,3.0 L,134 000 km,Bakı
36 500 $,2016,2.0 L,61 100 km,Bakı
49 500 $,2017,2.0 L,68 000 km,Bakı
7 200 AZN,1994,3.0 L,327 000 km,Sumqayıt
45 500 $,2016,2.0 L,98 170 km,Bakı
41 500 $,2017,2.0 L,54 500 km,Bakı
51 000 AZN,2017,2.0 L,105 000 km,Bakı
42 500 $,2018,2.0 L,50 000 km,Bakı
20 500 AZN,2005,3.0 L,384 386 km,Bakı
2 900 AZN,1988,3.0 L,233 333 km,Gəncə
32 000 $,2017,2.0 L,100 000 km,Bakı
4 800 AZN,1991,3.0 L,250 000 km,Bakı
39 900 $,2016,2.0 L,77 000 km,Sumqayıt
6 000 AZN,1997,3.0 L,522 222 km,Bakı
22 800 AZN,2007,3.0 L,379 000 km,Bakı
4 500 AZN,1995,3.0 L,50 000 km,Gəncə
